source,ablation,n_features,position_mode,jb_recovery_rate,jb_n,jb_ci_lo,jb_ci_hi,ctrl_break_rate,ctrl_n,ctrl_ci_lo,ctrl_ci_hi,bare_break_rate,bare_n,bare_ci_lo,bare_ci_hi
orig,universal_refusal_core,26,all,0.2584,89,0.1788141889199488,0.358031363073985,0.06,250,0.036694082794353496,0.0966237027853151,0.1,50,0.04347512399157111,0.2136049033478839
orig,ctrl_shared_refusal,4,all,0.0562,89,0.024232521079919085,0.1248558186298662,0.12,250,0.08536266215857913,0.16613906175113463,0.1,50,0.04347512399157111,0.2136049033478839
orig,jb_fiction_specific_vs_ctrl,11,all,0.1685,89,0.1048816181698591,0.25962739503111976,0.068,250,0.04288555795457601,0.1061900860690986,0.12,50,0.05617523710624646,0.23805078886623582
orig,jb_analytical_specific_vs_ctrl,9,all,0.1461,89,0.08739377564182575,0.2340311028609144,0.064,250,0.039774400710777265,0.10142231409089433,0.06,50,0.020614596364630478,0.16217343370877002
orig,jb_cognitive_reframe_specific_vs_ctrl,9,all,0.1348,89,0.07884193534944134,0.22104087580417942,0.1,250,0.06865445354100544,0.1434526242586933,0.12,50,0.05617523710624646,0.23805078886623582
canonical_legacy,canonical_pro_refusal,88,all,0.0786,89,0.03861933093175789,0.15355314347626609,0.12,250,0.08536266215857913,0.16613906175113463,0.2,50,0.11243629945973886,0.3303737210448524
canonical_k100f20,canonical_pro_refusal,6,all,0.2135,89,0.14114687024752387,0.3095304123499324,0.04,250,0.02186967487695694,0.07205346459269657,0.12,50,0.05617523710624646,0.23805078886623582
canonical_k50f50,canonical_pro_refusal,1,all,0.0112,89,0.0019861320934023673,0.06093393821990546,0.076,250,0.0491912491961804,0.11564225327150024,0.18,50,0.0977008273245379,0.3079631945470261
full_k100f20,universal_refusal_core,47,all,0.3146,89,0.22750896837627055,0.41704692036325997,0.072,250,0.046025193010480865,0.11092938023519675,0.06,50,0.020614596364630478,0.16217343370877002
full_k100f20,ctrl_shared_refusal,29,all,0.0449,89,0.01761420103381913,0.10993207132684676,0.116,250,0.08199108127964577,0.161631713408065,0.08,50,0.031549003255790686,0.18838502545063704
full_k100f20,jb_fiction_specific_vs_ctrl,48,all,0.0674,89,0.03126095907688764,0.139369447982017,0.116,250,0.08199108127964577,0.161631713408065,0.06,50,0.020614596364630478,0.16217343370877002
full_k100f20,jb_analytical_specific_vs_ctrl,48,all,0.1461,89,0.08739377564182575,0.2340311028609144,0.096,250,0.06536141854642746,0.13886673003126823,0.16,50,0.08337321362087696,0.2851448096176598
full_k100f20,jb_cognitive_reframe_specific_vs_ctrl,42,all,0.2472,89,0.16928115452187475,0.3460223301229396,0.06,250,0.036694082794353496,0.0966237027853151,0.12,50,0.05617523710624646,0.23805078886623582
full_k100f20,jb_completion_specific_vs_ctrl,23,all,0.1461,89,0.08739377564182575,0.2340311028609144,0.076,250,0.0491912491961804,0.11564225327150024,0.06,50,0.020614596364630478,0.16217343370877002
full_k100f20,jb_roleplay_specific_vs_ctrl,52,all,0.1011,89,0.05411793406379983,0.1811386750424629,0.024,250,0.011044626630631514,0.051362795951009954,0.06,50,0.020614596364630478,0.16217343370877002
